is_canceled,lead_time,arrival_date_month,meal,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,length_stay,number_guest,change_room_type
1,102,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,110.7,0,1,7,2.0,0
0,115,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,58.95,0,1,7,2.0,0
0,102,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,2,7,3.0,0
0,86,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,2,7,2.0,0
0,78,July,HB,Online TA,TA/TO,E,F,0,No Deposit,0,Transient,139.0,0,2,7,3.0,1
0,52,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,67.24,0,0,7,2.0,0
0,29,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,116.5,0,1,8,3.0,0
1,101,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,96.3,0,1,8,2.0,0
0,109,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,123.0,0,1,8,2.0,0
0,92,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,71.55,0,1,10,2.0,0
0,92,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,71.55,0,1,10,2.0,0
0,79,July,HB,Direct,Direct,D,D,1,No Deposit,0,Transient,149.0,0,1,10,3.0,0
0,2,July,BB,Online TA,TA/TO,H,G,1,No Deposit,0,Transient,163.0,1,0,1,4.0,1
0,30,July,BB,Offline TA/TO,TA/TO,D,C,0,No Deposit,0,Contract,79.5,0,0,1,2.0,1
1,51,July,HB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,105.0,0,0,1,1.0,0
1,36,July,BB,Direct,Direct,E,G,1,No Deposit,0,Transient,123.0,0,0,1,1.0,1
1,73,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,2,1,2.0,0
1,33,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,113.0,0,0,1,2.0,0
0,32,July,FB,Complementary,Direct,H,H,2,No Deposit,0,Transient,0.0,0,1,1,4.0,0
0,8,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,1,2.0,0
0,100,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient-Party,73.8,1,1,2,2.0,1
0,1,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,114.5,0,0,2,2.0,0
0,100,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient-Party,73.8,0,2,2,2.0,0
0,100,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient-Party,73.8,0,1,2,2.0,1
0,9,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,88.2,0,1,1,2.0,1
1,5,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,0,1,2.0,0
0,0,July,BB,Online TA,TA/TO,A,C,1,No Deposit,0,Transient,85.1,0,0,1,2.0,1
0,9,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,89.0,0,0,1,1.0,0
0,2,July,BB,Online TA,TA/TO,A,D,0,No Deposit,0,Transient,80.1,0,0,1,1.0,1
0,2,July,BB,Online TA,TA/TO,A,E,0,No Deposit,0,Transient,98.0,0,0,1,2.0,1
0,9,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,101.0,1,0,1,1.0,0
1,5,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,0,1,2.0,0
0,2,July,BB,Direct,Direct,G,G,0,No Deposit,0,Transient,167.0,0,1,1,2.0,0
0,44,July,HB,Online TA,TA/TO,G,G,3,No Deposit,0,Transient,225.0,2,0,2,3.0,0
0,80,July,BB,Online TA,TA/TO,D,E,0,No Deposit,0,Transient,97.0,1,0,2,2.0,1
0,97,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,87.3,0,2,4,2.0,0
0,109,July,BB,Offline TA/TO,TA/TO,A,D,0,No Deposit,0,Transient,85.59,1,2,5,3.0,1
0,30,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,5,2.0,0
0,64,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,107.0,0,0,5,2.0,0
0,39,July,BB,Online TA,TA/TO,H,H,0,No Deposit,0,Transient,163.0,0,0,6,2.0,0
0,90,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,82.0,0,0,6,2.0,0
1,34,July,BB,Online TA,TA/TO,H,H,0,No Deposit,0,Transient,163.0,0,0,6,4.0,0
1,93,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,105.5,0,0,7,2.0,0
0,97,July,HB,Direct,Direct,C,C,1,No Deposit,0,Transient,164.2,1,1,7,4.0,0
0,29,July,BB,Online TA,TA/TO,F,F,0,No Deposit,0,Transient,97.29,0,1,7,2.0,0
1,101,July,HB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,114.0,0,1,7,2.0,0
0,27,July,BB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Transient,98.4,0,0,7,2.0,0
0,8,July,BB,Online TA,TA/TO,H,H,1,No Deposit,0,Transient,175.0,1,1,9,4.0,0
0,82,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,63.6,1,2,10,2.0,0
0,94,July,BB,Direct,Direct,D,C,3,No Deposit,0,Transient,124.45,1,1,10,3.0,1
0,110,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,110.7,0,0,11,2.0,0
0,96,July,HB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,74.07,0,0,14,1.0,0
0,79,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,134.1,0,0,14,2.0,0
0,115,July,BB,Online TA,TA/TO,G,G,1,No Deposit,0,Transient,167.0,0,0,5,4.0,0
0,111,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,123.0,0,2,4,2.0,1
0,51,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,117.81,1,2,4,2.0,0
0,94,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,171.32,0,1,4,3.0,0
0,81,July,HB,Direct,Direct,G,G,0,No Deposit,0,Transient,210.0,1,0,4,4.0,0
0,84,July,BB,Online TA,TA/TO,D,E,1,No Deposit,0,Transient,97.0,0,2,4,3.0,1
0,51,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,117.81,0,2,4,3.0,0
0,111,July,BB,Online TA,TA/TO,A,H,0,No Deposit,0,Transient,0.0,0,2,0,2.0,1
0,0,July,BB,Direct,Direct,E,H,0,No Deposit,0,Transient,0.0,0,0,0,1.0,1
0,2,July,BB,Direct,Direct,A,E,0,No Deposit,0,Transient,131.0,0,0,1,3.0,1
0,7,July,BB,Online TA,TA/TO,A,E,0,No Deposit,0,Transient,98.0,0,2,2,2.0,1
0,98,July,BB,Online TA,TA/TO,D,F,0,No Deposit,0,Transient,87.3,1,1,2,2.0,1
0,95,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,1,3,2.0,0
1,48,July,HB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,167.0,0,0,4,2.0,0
0,66,July,HB,Offline TA/TO,TA/TO,A,E,0,No Deposit,0,Transient,91.5,0,0,4,2.0,1
0,104,July,BB,Online TA,TA/TO,A,C,1,No Deposit,0,Transient,73.8,0,1,4,2.0,1
0,28,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,5,2.0,0
0,34,July,HB,Direct,Direct,F,F,0,No Deposit,0,Transient,175.0,1,0,5,2.0,0
0,98,July,HB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,117.8,1,1,6,2.0,1
0,104,July,BB,Online TA,TA/TO,E,E,1,No Deposit,0,Transient,117.63,0,0,6,2.0,0
0,68,July,HB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,185.0,0,0,7,4.0,0
1,86,July,HB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,71.0,0,1,7,1.0,0
0,258,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,47.25,0,0,7,2.0,0
0,111,July,HB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,151.0,0,1,8,2.0,1
1,94,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,87.3,0,0,10,2.0,0
0,112,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,120.6,0,1,10,2.0,0
0,100,July,BB,Offline TA/TO,TA/TO,D,D,1,No Deposit,0,Transient,63.86,0,1,10,2.0,0
0,33,July,HB,Direct,Direct,F,F,5,No Deposit,0,Transient,157.1,0,1,10,2.0,0
0,97,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,91.37,0,2,10,2.0,0
0,80,July,BB,Direct,Direct,A,A,1,No Deposit,0,Transient,73.0,0,0,11,1.0,0
0,90,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,110.7,0,0,14,2.0,0
0,111,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,93.6,0,0,14,2.0,0
0,65,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,83.5,0,0,7,2.0,0
1,67,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,1,2,2.0,0
0,55,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,82.0,1,2,3,2.0,0
0,21,July,HB,Direct,Direct,F,F,0,No Deposit,0,Transient,185.5,0,1,3,3.0,0
0,8,July,BB,Direct,Direct,A,A,0,No Deposit,0,Transient,0.0,0,1,0,2.0,0
0,8,July,BB,Online TA,TA/TO,A,E,0,No Deposit,0,Transient,0.0,0,1,0,2.0,1
0,0,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,109.8,0,3,1,1.0,0
0,0,July,HB,Direct,Direct,C,C,0,No Deposit,0,Transient,195.0,1,0,1,3.0,0
0,0,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,109.8,0,3,1,1.0,0
0,8,July,BB,Online TA,TA/TO,H,H,2,No Deposit,0,Transient,193.0,0,1,4,5.0,0
0,66,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,2,4,2.0,0
0,88,July,HB,Offline TA/TO,TA/TO,D,E,0,No Deposit,0,Transient,150.0,0,1,4,3.0,1
0,0,July,BB,Direct,Direct,A,A,2,No Deposit,0,Transient,98.0,0,0,4,2.0,0
1,43,July,HB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,91.5,0,0,5,2.0,0
1,88,July,HB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,139.0,0,2,7,2.0,0
0,54,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,79.5,0,0,7,2.0,0
1,292,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,47.25,0,0,7,2.0,0
0,112,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,126.65,0,1,14,2.0,0
0,68,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,107.0,0,1,3,2.0,0
0,7,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,131.0,1,2,4,2.0,0
0,1,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,131.0,1,1,4,2.0,0
1,113,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,123.0,0,1,4,2.0,0
0,5,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,146.0,0,1,4,2.0,0
0,83,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,110.7,0,1,4,2.0,0
1,105,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,1,4,2.0,0
0,0,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,61.0,0,0,1,1.0,0
1,1,July,BB,Corporate,Corporate,A,A,0,No Deposit,0,Transient,104.72,0,1,1,2.0,0
1,1,July,BB,Corporate,Corporate,A,A,0,No Deposit,0,Transient,104.72,0,1,1,2.0,0
0,1,July,BB,Corporate,Corporate,A,F,0,No Deposit,0,Transient,104.72,1,1,2,2.0,1
1,102,July,BB,Direct,Direct,A,A,0,No Deposit,0,Transient,66.42,0,1,5,2.0,0
0,113,July,BB,Direct,Direct,E,E,1,No Deposit,0,Transient,77.96,1,1,6,2.0,0
1,280,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,112.0,0,1,7,3.0,0
0,96,July,BB,Online TA,TA/TO,E,F,0,No Deposit,0,Transient,107.0,0,1,7,2.0,1
0,394,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,89.68,0,0,7,2.0,0
0,33,July,HB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,155.0,0,0,7,2.0,0
0,82,July,BB,Direct,Direct,A,A,0,No Deposit,0,Transient,112.0,0,1,8,3.0,0
0,100,July,BB,Online TA,TA/TO,E,E,1,No Deposit,0,Transient-Party,130.1,0,3,9,3.0,0
0,100,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient-Party,100.1,0,2,9,2.0,0
0,17,July,BB,Online TA,TA/TO,C,C,0,No Deposit,0,Transient,123.0,0,3,1,4.0,0
0,68,July,BB,Direct,Direct,A,C,0,No Deposit,0,Transient,124.0,1,1,2,3.0,1
0,12,July,BB,Direct,Direct,H,G,2,No Deposit,0,Transient,146.0,1,0,2,4.0,1
1,77,July,BB,Direct,Direct,D,D,0,No Deposit,0,Transient,97.0,0,0,3,2.0,0
1,24,July,BB,Online TA,TA/TO,C,C,0,No Deposit,0,Transient,123.0,0,1,3,4.0,0
1,44,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,153.0,0,0,3,4.0,0
0,78,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,82.0,0,2,3,3.0,0
1,17,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,105.08,0,0,4,2.0,0
1,103,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,65.42,0,0,4,2.0,0
0,16,July,BB,Direct,Direct,A,A,0,No Deposit,0,Transient,98.0,0,1,4,1.0,0
0,14,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,75.46,1,1,5,2.0,0
0,77,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,65.5,0,0,5,2.0,0
0,90,July,BB,Offline TA/TO,TA/TO,A,D,0,No Deposit,0,Transient,90.95,0,0,7,2.0,1
0,90,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,93.6,0,0,7,2.0,0
0,90,July,BB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Contract,119.25,0,0,7,2.0,0
0,366,July,HB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Contract,134.73,0,0,7,2.0,0
0,249,July,HB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,112.0,0,1,7,2.0,0
1,69,July,HB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,118.13,0,2,8,2.0,0
0,10,July,BB,Direct,Direct,A,A,0,No Deposit,0,Transient,131.0,0,0,1,2.0,0
0,22,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,88.2,0,0,2,2.0,0
0,91,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,1,2,2.0,0
0,23,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,98.0,0,0,2,2.0,0
